"","air_yards","qb_hit_observed","posteam","id"
"962",3,0,"HOU",15
"963",2,0,"NYG",11
"964",11,0,"KC",8
"965",13,0,"LAC",17
"966",1,0,"JAX",16
"967",28,0,"DAL",10
"968",9,0,"NE",19
"969",3,0,"TB",9
"970",7,0,"MIN",21
"971",2,0,"CAR",24
"972",8,0,"NE",19
"973",4,0,"SEA",30
"974",11,0,"JAX",16
"975",23,0,"JAX",16
"976",9,0,"LA",6
"977",21,0,"NE",19
"978",11,0,"LA",6
"979",4,1,"LA",6
"980",35,0,"TB",9
"981",3,0,"BAL",4
"982",16,0,"NYG",11
"983",8,0,"NYJ",23
"984",9,1,"NO",13
"985",8,0,"TB",9
"986",7,0,"IND",29
"987",4,0,"SEA",30
"988",10,0,"CIN",22
"989",6,0,"TB",9
"990",5,0,"SEA",30
"991",20,0,"CHI",5
"992",3,0,"MIA",20
"993",22,0,"NYJ",23
"994",4,0,"DEN",12
"995",2,0,"DEN",12
"996",23,0,"LV",3
"997",1,0,"GB",14
"998",19,0,"CAR",24
"999",7,0,"PHI",26
"1000",6,0,"MIA",20
